Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        7     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >&, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::pair<double const, std::deque<Order, std::allocator<Order> > >::~pair()
  0.00      0.00     0.00        7     0.00     0.00  std::deque<Order, std::allocator<Order> >::_M_destroy_data(std::_Deque_iterator<Order, Order&, Order*>, std::_Deque_iterator<Order, Order&, Order*>, std::allocator<Order> const&)
  0.00      0.00     0.00        7     0.00     0.00  std::deque<Order, std::allocator<Order> >::end()
  0.00      0.00     0.00        7     0.00     0.00  std::deque<Order, std::allocator<Order> >::begin()
  0.00      0.00     0.00        7     0.00     0.00  std::deque<Order, std::allocator<Order> >::~deque()
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_get_node()
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_put_node(std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >*)
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_drop_node(std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >*)
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_destroy_node(std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >*)
  0.00      0.00     0.00        7     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00        7     0.00     0.00  std::operator==(std::_Deque_iterator<TradeEvent, TradeEvent const&, TradeEvent const*> const&, std::_Deque_iterator<TradeEvent, TradeEvent const&, TradeEvent const*> const&)
  0.00      0.00     0.00        7     0.00     0.00  std::operator!=(std::_Deque_iterator<TradeEvent, TradeEvent const&, TradeEvent const*> const&, std::_Deque_iterator<TradeEvent, TradeEvent const&, TradeEvent const*> const&)
  0.00      0.00     0.00        7     0.00     0.00  std::operator!=(std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > const&, std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > const&)
  0.00      0.00     0.00        6     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::construct<std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::pair<double const, std::deque<Order, std::allocator<Order> > > const&>(std::pair<double const, std::deque<Order, std::allocator<Order> > >*, std::pair<double const, std::deque<Order, std::allocator<Order> > > const&)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Order>, Order>::_S_select_on_copy(std::allocator<Order> const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Deque_iterator<Order, Order&, Order*>::operator*() const
  0.00      0.00     0.00        6     0.00     0.00  std::deque<Order, std::allocator<Order> >::size() const
  0.00      0.00     0.00        6     0.00     0.00  std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >* std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_Alloc_node::operator()<std::pair<double const, std::deque<Order, std::allocator<Order> > > const&>(std::pair<double const, std::deque<Order, std::allocator<Order> > > const&) const
